"","Date","price"
"157",2015-06-06,29.8937302648084
"158",2015-06-07,54.6423367326389
"159",2015-06-08,142.163356300353
"160",2015-06-09,41.9476530696864
"161",2015-06-10,9.14028515972222
"162",2015-06-11,28.5288182922535
"163",2015-06-12,33.1549515972222
"164",2015-06-13,25.7846742604167
"165",2015-06-14,25.0351472013889
"166",2015-06-15,28.085660877193
"167",2015-06-16,28.6192076736111
"168",2015-06-17,33.7040576284722
"169",2015-06-18,43.3045476491228
"170",2015-06-19,29.05458165625
"171",2015-06-20,31.9290146909722
"172",2015-06-21,30.4017661319444
"173",2015-06-22,30.1821929444444
"174",2015-06-23,35.6096647604167
"175",2015-06-24,45.9188334131944
"176",2015-06-25,59.3391137638889
"177",2015-06-26,51.5537095416667
"178",2015-06-27,34.4667721180556
