Month,Day,Hour,solar1_output_MW,solar2_output_MW,solar3_output_MW
1,23,8,35.148496,0,15.468205
1,23,9,21.979788,3.01342675,40.78634
1,23,10,27.491172,0.5602495,41.342024
1,23,11,40.362936,16.546185,41.484972
1,23,12,40.31272,26.223434,40.680472
1,23,13,27.739984,23.383532,40.359532
1,23,14,25.443024,13.614494,39.452272
1,23,15,23.561514,0.112314852,36.408812
1,23,16,17.350482,1.80588325,25.079402
1,23,17,0,0,0
1,23,18,0,0,0
1,23,19,0,0,0
1,23,20,0,0,0
1,23,21,0,0,0
1,23,22,0,0,0
1,23,23,0,0,0
1,24,0,0,0,0
1,24,1,0,0,0
1,24,2,0,0,0
1,24,3,0,0,0
1,24,4,0,0,0
1,24,5,0,0,0
1,24,6,0,0,0
1,24,7,1.245525625,0,0.561806688
1,24,8,8.217916,12.551461,32.903922
1,24,9,22.900602,31.265582,38.260772
1,24,10,23.514972,39.864568,39.59132
1,24,11,22.363364,39.94648,39.68676
1,24,12,22.607502,40.137968,39.659756
1,24,13,15.582054,39.969704,39.480544
1,24,14,13.86041,39.255608,38.957128
1,24,15,16.860124,36.49336,34.6467
1,24,16,5.566041,26.804214,24.265834
1,24,17,0,0,0
1,24,18,0,0,0
1,24,19,0,0,0
1,24,20,0,0,0
1,24,21,0,0,0
1,24,22,0,0,0
1,24,23,0,0,0
1,25,0,0,0,0
1,25,1,0,0,0
1,25,2,0,0,0
1,25,3,0,0,0
1,25,4,0,0,0
1,25,5,0,0,0
1,25,6,0,0,0
1,25,7,0,0,8.467289
1,25,8,0.085528617,2.807717,27.580842
1,25,9,1.00242325,0.49362425,34.378504
1,25,10,21.02554,24.274626,36.69194
1,25,11,7.145709,36.061508,38.368884
1,25,12,12.90363,35.794584,30.19718
1,25,13,26.038234,37.007128,30.63438
1,25,14,3.46243125,37.377752,27.294524
1,25,15,20.366534,34.00598,24.768484
1,25,16,21.463888,24.51995,0.391124188
1,25,17,0,0,0
1,25,18,0,0,0
1,25,19,0,0,0
1,25,20,0,0,0
1,25,21,0,0,0
1,25,22,0,0,0
1,25,23,0,0,0
1,26,0,0,0,0
1,26,1,0,0,0
1,26,2,0,0,0
1,26,3,0,0,0
1,26,4,0,0,0
1,26,5,0,0,0
1,26,6,0,0,0
1,26,7,0.387828031,0,0.279771625
1,26,8,1.055816875,0.332082656,2.065645375
1,26,9,5.8546225,3.2907815,6.783674
1,26,10,24.286826,23.649158,5.7538215
1,26,11,4.93454,8.1991545,2.9017375
1,26,12,11.048634,10.82228,20.484736
1,26,13,2.047991125,37.333056,16.313466
1,26,14,2.38257425,18.873396,3.160704
1,26,15,15.909872,32.118776,3.509804
1,26,16,7.353367,21.142934,7.197348
1,26,17,0,0,0
1,26,18,0,0,0
1,26,19,0,0,0
1,26,20,0,0,0
1,26,21,0,0,0
1,26,22,0,0,0
1,26,23,0,0,0
1,27,0,0,0,0
1,27,1,0,0,0
1,27,2,0,0,0
1,27,3,0,0,0
1,27,4,0,0,0
1,27,5,0,0,0
1,27,6,0,0,0
1,27,7,20.759834,7.634021,12.515403
1,27,8,37.394056,32.860366,33.215346
1,27,9,42.462128,39.990776,39.623328
1,27,10,43.209512,40.45988,41.966744
1,27,11,43.465744,40.527704,33.042392
1,27,12,43.304064,40.240548,34.10188
1,27,13,42.946896,39.08864,33.34201
1,27,14,29.788158,38.496832,24.789634
1,27,15,37.705988,34.979252,19.973694
1,27,16,21.744728,9.90929,24.64883
1,27,17,0,0,0
1,27,18,0,0,0
1,27,19,0,0,0
1,27,20,0,0,0
1,27,21,0,0,0
1,27,22,0,0,0
1,27,23,0,0,0
1,28,0,0,0,0
1,28,1,0,0,0
1,28,2,0,0,0
1,28,3,0,0,0
1,28,4,0,0,0
1,28,5,0,0,0
1,28,6,0,0,0
1,28,7,25.430478,0.299102844,2.029804875
1,28,8,41.096932,29.65281,16.404649
1,28,9,44.056064,30.72786,22.727834
1,28,10,44.815908,39.042492,27.252544
1,28,11,44.812488,38.855972,41.3412
1,28,12,44.48658,38.579768,41.405844
